iter	Passed	Remaining
615	21520	13415
616	21553	13379
617	21582	13340
618	21614	13303
619	21645	13266
620	21676	13229
621	21707	13192
622	21740	13155
623	21772	13119
624	21811	13087
625	21849	13054
626	21880	13016
627	21916	12982
628	21954	12949
629	21985	12911
630	22018	12876
631	22050	12839
632	22079	12801
633	22111	12764
634	22144	12728
635	22177	12692
636	22214	12659
637	22245	12622
638	22277	12585
639	22308	12548
640	22339	12511
641	22371	12474
642	22404	12439
643	22438	12403
644	22464	12364
645	22495	12326
646	22525	12289
647	22565	12257
648	22598	12222
649	22631	12186
650	22660	12148
651	22691	12111
652	22723	12075
653	22753	12037
654	22787	12002
655	22820	11966
656	22851	11930
657	22883	11893
658	22920	11860
659	22956	11825
660	22988	11789
661	23016	11751
662	23047	11714
663	23080	11679
664	23120	11647
665	23148	11609
666	23181	11573
667	23214	11537
668	23246	11501
669	23276	11464
670	23321	11434
671	23358	11401
672	23392	11365
673	23422	11328
674	23455	11293
675	23486	11257
676	23518	11220
677	23549	11184
678	23584	11149
679	23618	11114
680	23649	11078
681	23683	11042
682	23717	11008
683	23749	10972
684	23782	10936
685	23813	10899
686	23845	10864
687	23880	10829
688	23914	10794
689	23949	10759
690	23980	10723
691	24012	10687
692	24052	10655
693	24088	10621
694	24116	10583
695	24148	10547
696	24194	10517
697	24238	10487
698	24274	10453
699	24313	10419
700	24352	10387
701	24391	10354
702	24432	10322
703	24470	10288
704	24510	10256
705	24549	10223
706	24590	10190
707	24636	10160
708	24671	10125
709	24704	10090
710	24739	10055
711	24776	10021
712	24818	9990
713	24859	9957
714	24903	9926
715	24945	9894
716	24990	9863
717	25032	9831
718	25069	9797
719	25106	9763
720	25151	9732
721	25185	9697
722	25224	9664
723	25259	9629
724	25293	9593
725	25340	9563
726	25379	9530
727	25416	9496
728	25454	9462
729	25491	9428
730	25536	9397
731	25579	9365
732	25616	9330
733	25650	9295
734	25686	9260
735	25721	9226
736	25756	9191
737	25791	9156
738	25825	9121
739	25859	9085
740	25900	9053
741	25938	9019
742	25975	8984
743	26011	8950
744	26055	8918
745	26093	8884
746	26131	8850
747	26171	8817
748	26213	8784
749	26249	8749
750	26288	8716
751	26324	8681
752	26360	8646
753	26392	8610
754	26424	8574
755	26454	8538
756	26481	8500
757	26513	8464
758	26545	8428
759	26577	8392
760	26608	8356
761	26636	8319
762	26666	8283
763	26697	8246
764	26728	8210
765	26759	8174
766	26791	8138
767	26822	8102
768	26853	8066
769	26894	8033
770	26930	7998
771	26962	7963
772	26994	7927
773	27037	7894
774	27075	7860
775	27107	7824
776	27148	7791
777	27180	7755
778	27212	7719
779	27243	7684
780	27275	7648
781	27306	7612
782	27339	7576
783	27374	7541
784	27403	7505
785	27433	7469
786	27466	7433
787	27497	7397
788	27529	7362
789	27562	7326
790	27592	7290
791	27626	7255
792	27658	7219
793	27689	7183
794	27718	7147
795	27755	7113
796	27794	7079
797	27831	7044
798	27868	7010
799	27905	6976
800	27937	6940
801	27966	6904
802	27993	6867
803	28026	6832
804	28055	6795
805	28088	6760
806	28119	6725
807	28154	6690
808	28208	6659
809	28239	6624
810	28269	6588
811	28299	6552
812	28330	6516
813	28361	6480
814	28391	6444
815	28425	6409
816	28457	6374
817	28488	6338
818	28528	6304
819	28564	6270
820	28597	6235
821	28629	6199
822	28661	6164
823	28693	6128
824	28723	6092
825	28756	6057
826	28787	6022
827	28819	5986
828	28852	5951
829	28892	5917
830	28927	5882
831	28956	5847
832	28988	5811
833	29020	5776
834	29054	5741
835	29087	5706
836	29117	5670
837	29160	5637
838	29203	5604
839	29250	5571
840	29301	5539
841	29357	5508
842	29396	5474
843	29429	5439
844	29463	5404
845	29494	5368
846	29525	5333
847	29559	5298
848	29585	5261
849	29620	5227
850	29650	5191
851	29683	5156
852	29725	5122
853	29770	5089
854	29804	5054
855	29835	5019
856	29874	4984
857	29916	4951
858	29950	4916
859	29982	4880
860	30026	4847
861	30065	4813
862	30100	4778
863	30136	4743
864	30169	4708
865	30202	4673
866	30233	4637
867	30264	4602
868	30295	4566
869	30327	4531
870	30358	4496
871	30389	4460
872	30423	4425
873	30457	4390
874	30489	4355
875	30521	4320
876	30552	4284
877	30582	4249
878	30614	4214
879	30644	4178
880	30674	4143
881	30706	4108
882	30739	4073
883	30780	4039
884	30816	4004
885	30857	3970
886	30894	3935
887	30925	3900
888	30956	3865
889	30989	3830
890	31022	3795
891	31054	3759
892	31086	3724
893	31119	3689
894	31160	3655
895	31193	3620
896	31225	3585
897	31256	3550
898	31287	3515
899	31319	3479
900	31350	3444
901	31381	3409
902	31413	3374
903	31446	3339
904	31479	3304
905	31519	3270
906	31556	3235
907	31597	3201
908	31637	3167
909	31670	3132
910	31701	3097
911	31733	3062
912	31765	3026
913	31797	2991
914	31832	2957
915	31870	2922
916	31901	2887
917	31931	2852
918	31961	2817
919	31994	2782
920	32025	2747
921	32058	2712
922	32091	2677
923	32126	2642
924	32162	2607
925	32193	2572
926	32226	2537
927	32264	2503
928	32301	2468
929	32332	2433
930	32364	2398
931	32396	2363
932	32428	2328
933	32462	2293
934	32494	2259
935	32525	2223
936	32555	2188
937	32587	2153
938	32619	2119
939	32651	2084
940	32683	2049
941	32715	2014
942	32748	1979
943	32778	1944
944	32810	1909
945	32850	1875
946	32888	1840
947	32918	1805
948	32951	1770
949	32989	1736
950	33026	1701
951	33062	1667
952	33094	1632
953	33128	1597
954	33168	1562
955	33199	1528
956	33230	1493
957	33264	1458
958	33295	1423
959	33325	1388
960	33358	1353
961	33390	1318
962	33422	1284
963	33454	1249
964	33482	1214
965	33514	1179
966	33545	1144
967	33577	1109
968	33607	1075
969	33642	1040
970	33674	1005
971	33705	970
972	33745	936
973	33778	901
974	33809	866
975	33849	832
976	33886	797
977	33917	762
978	33948	728
979	33980	693
980	34011	658
981	34042	623
982	34074	589
983	34107	554
984	34139	519
985	34172	485
986	34204	450
987	34235	415
988	34263	381
989	34294	346
990	34326	311
991	34358	277
992	34390	242
993	34420	207
994	34455	173
995	34495	138
996	34532	103
997	34564	69
998	34597	34
999	34630	0
